player_name,events,description,b_arm,p_arm,bb_type,balls,strikes,outs_when_up,inning,hit_distance_sc,launch_speed,pitch_speed,spin_rate,pitch_name,win_exp,team
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,0,2,0,4,0.0,,90.5,1675.0,Changeup,0.881,Yankees
"Gil, Luis",double,hit_into_play,R,R,line_drive,0,1,0,4,323.0,96.9,94.8,2190.0,4-Seam Fastball,0.917,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,2,3,0.0,,92.6,1717.0,Changeup,0.777,Yankees
"Gil, Luis",force_out,hit_into_play,R,R,ground_ball,2,2,1,3,58.0,81.0,97.7,2419.0,4-Seam Fastball,0.733,Yankees
"Gil, Luis",walk,ball,L,R,,3,2,1,3,0.0,,87.5,2464.0,Slider,0.759,Yankees
"Gil, Luis",double,hit_into_play,R,R,line_drive,2,1,1,3,181.0,101.5,85.1,2486.0,Slider,0.7989999999999999,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,0,2,0,3,0.0,,97.4,2112.0,4-Seam Fastball,0.776,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,3,1,2,2,111.0,101.4,95.3,2264.0,4-Seam Fastball,0.796,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,0,0,1,2,23.0,92.2,96.2,2498.0,4-Seam Fastball,0.781,Yankees
"Gil, Luis",home_run,hit_into_play,L,R,fly_ball,1,1,1,2,377.0,104.9,86.8,2436.0,Slider,0.849,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,0,2,0.0,,85.6,2634.0,Slider,0.831,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,0,2,1,1,65.0,62.8,98.5,2577.0,4-Seam Fastball,0.5509999999999999,Yankees
"Gil, Luis",walk,ball,R,R,,3,1,1,1,0.0,,83.8,2413.0,Slider,0.616,Yankees
"Gil, Luis",walk,ball,L,R,,3,1,1,1,0.0,,95.7,2449.0,4-Seam Fastball,0.654,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,3,2,0,1,208.0,98.2,87.5,2490.0,Slider,0.619,Yankees
"Gil, Luis",hit_by_pitch,hit_by_pitch,R,R,,0,0,0,1,0.0,,91.3,2084.0,4-Seam Fastball,0.6579999999999999,Yankees
"Gil, Luis",strikeout_looking,called_strike,L,R,,1,2,2,5,0.0,,98.1,2260.0,4-Seam Fastball,0.362,Yankees
"Gil, Luis",single,hit_into_play,R,R,line_drive,1,2,2,5,217.0,73.9,86.0,2464.0,Slider,0.382,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,0,0,1,5,398.0,104.2,88.1,1641.0,Changeup,0.353,Yankees
"Gil, Luis",single,hit_into_play,R,R,ground_ball,2,2,1,5,23.0,100.7,96.5,2543.0,4-Seam Fastball,0.379,Yankees
